primary key, precinct, population, polygon type
"5002", "Mount Vernon 29", "0.0", "Polygon"
"5003", "Mount Vernon 4", "0.0", "Polygon"
"5004", "Burlington 5", "0.0", "Polygon"
"5005", "Burlington 6", "0.0", "Polygon"
"5006", "Burlington 7", "0.0", "Polygon"
"5007", "Burlington 2", "0.0", "Polygon"
"5008", "Burlington 1", "0.0", "Polygon"
"5009", "Burlington 3", "0.0", "Polygon"
"5010", "Burlington 8", "0.0", "Polygon"
"5011", "Burlington 4", "0.0", "Polygon"
"5012", "Gear", "0.0", "Polygon"
"5013", "Gages", "0.0", "Polygon"
"5014", "Avon", "0.0", "Polygon"
"5015", "Mcrae", "0.0", "Polygon"
"5016", "Belfast", "0.0", "Polygon"
"5017", "Samish", "0.0", "Polygon"
"5018", "Alger", "0.0", "Polygon"
"5019", "Lookout", "0.0", "Polygon"
"5020", "Conway", "0.0", "Polygon"
"5021", "Fir", "0.0", "Polygon"
"5022", "Blanchard", "0.0", "Polygon"
"5023", "Bow", "0.0", "Polygon"
"5024", "Allen", "0.0", "Polygon"
"5025", "Vedere", "0.0", "Polygon"
"5026", "Country Club", "0.0", "Polygon"
"5027", "Terrace", "0.0", "Polygon"
"5028", "Fredonia", "0.0", "Polygon"
"5029", "Ridgeway", "0.0", "Polygon"
"5030", "Harmony", "0.0", "Polygon"
"5031", "Whitney", "0.0", "Polygon"
"5032", "La Conner", "0.0", "Polygon"
"5033", "Dodge Valley", "0.0", "Polygon"
"5034", "Shelter Bay", "0.0", "Polygon"
"5035", "Swinomish", "0.0", "Polygon"
"5036", "Snee Oosh", "0.0", "Polygon"
"5037", "Dewey", "0.0", "Polygon"
"5038", "Rosario", "0.0", "MultiPolygon"
"5039", "Anacortes 24", "0.0", "Polygon"
"5040", "Anacortes 21", "0.0", "Polygon"
"5041", "Anacortes 22", "0.0", "Polygon"
"5042", "Anacortes 20", "0.0", "Polygon"
"5043", "Anacortes 11", "0.0", "Polygon"
"5044", "Anacortes 17", "0.0", "Polygon"
"5045", "Anacortes 1", "0.0", "Polygon"
"5046", "Anacortes 4", "0.0", "Polygon"
"5047", "Anacortes 9", "0.0", "Polygon"
"5048", "Fidalgo", "0.0", "MultiPolygon"
"5049", "Anacortes 7", "0.0", "Polygon"
"5050", "Anacortes 5", "0.0", "Polygon"
"5051", "Anacortes 6", "0.0", "Polygon"
"5052", "March Point", "0.0", "Polygon"
"5053", "Padilla", "0.0", "Polygon"
"5054", "Bayview", "0.0", "Polygon"
"5055", "Edison", "0.0", "Polygon"
"5056", "Point Williams", "0.0", "Polygon"
"5057", "Guemes", "0.0", "Polygon"
"5058", "View Terrace", "0.0", "Polygon"
"5059", "Alder", "0.0", "Polygon"
"5060", "Burrows Bay", "0.0", "Polygon"
"5061", "Rosario Straight", "0.0", "Polygon"
"5062", "Guemes Channel", "0.0", "Polygon"
"5063", "Fildalgo Bay", "0.0", "Polygon"
"5064", "Padilla Bay", "0.0", "Polygon"
"5065", "Samish Bay", "0.0", "Polygon"
"5066", "Cascade", "0.0", "Polygon"
"5067", "Rockport", "0.0", "Polygon"
"5068", "Skagit County", "0.0", "MultiPolygon"
"5069", "Sauk", "0.0", "Polygon"
"5070", "Mansford", "0.0", "Polygon"
"5071", "Lake Cavanaugh", "0.0", "Polygon"
"5072", "Montborne", "0.0", "Polygon"
